date,open,high,low,close,P,R1,R2,R3,S1,S2,S3
2023-12-07,988.8,988.8,988.8,988.8,988.8,988.8,988.8,988.8,988.8,988.8,988.8
2023-12-08,803.2,803.2,803.2,803.2,803.2,803.2,803.2,803.2,803.2,803.2,803.2
2023-12-11,619.05,619.05,619.05,619.05,619.05,619.05,619.05,619.05,619.05,619.05,619.05
2023-12-12,567.25,567.25,567.25,567.25,567.25,567.25,567.25,567.25,567.25,567.25,567.25
2023-12-13,639.2,639.2,395.8,425.25,486.75,579.7288,637.1712,730.15,393.7712,336.3288,243.35
2023-12-14,407.1,425.25,249.9,285.15,320.1,387.0837,428.4663,495.45,253.1163,211.7337,144.75
2023-12-15,267.55,285.15,216.9,216.9,239.65,265.7215,281.8285,307.9,213.5785,197.4715,171.4
2023-12-18,218.65,264.15,216.9,264.15,248.4,266.4495,277.6005,295.65,230.3505,219.1995,201.15
2023-12-19,312.05,312.05,264.15,264.15,280.1167,298.4145,309.7189,328.0167,261.8189,250.5145,232.2167
2023-12-20,305.75,380.0,214.6,380.0,324.8667,388.0495,427.0839,490.2667,261.6839,222.6495,159.4667
2023-12-21,380.0,559.5,233.05,248.95,347.1667,471.8706,548.9128,673.6167,222.4628,145.4206,20.7167
2023-12-22,249.85,373.8,221.25,330.65,308.5667,366.8408,402.8426,461.1167,250.2926,214.2908,156.0167
2023-12-26,327.9,337.0,230.75,230.75,266.1667,306.7542,331.8292,372.4167,225.5792,200.5042,159.9167
2023-12-27,239.0,244.6,151.05,156.25,183.9667,219.7028,241.7806,277.5167,148.2306,126.1528,90.4167
2023-12-28,164.5,164.5,107.65,119.05,130.4,152.1167,165.5333,187.25,108.6833,95.2667,73.55
2023-12-29,127.55,143.9,80.75,99.25,107.9667,132.09,146.9934,171.1167,83.8434,68.94,44.8167
2024-01-01,100.0,100.0,54.4,98.15,84.1833,101.6025,112.3641,129.7833,66.7641,56.0025,38.5833
2024-01-02,100.6,157.1,73.65,153.8,128.1833,160.0612,179.7554,211.6333,96.3054,76.6112,44.7333
2024-01-03,144.25,174.95,90.25,96.9,120.7,153.0554,173.0446,205.4,88.3446,68.3554,36.0
2024-01-04,96.9,96.9,23.6,25.4,48.6333,76.6339,93.9327,121.9333,20.6327,3.3339,-24.6667
2024-01-05,26.25,52.3,12.7,14.0,26.3333,41.4605,50.8061,65.9333,11.2061,1.8605,-13.2667
2024-01-08,11.3,73.85,10.65,48.45,44.3167,68.4591,83.3743,107.5167,20.1743,5.2591,-18.8833
2024-01-09,18.4,76.4,5.5,47.0,42.9667,70.0505,86.7829,113.8667,15.8829,-0.8495,-27.9333
2024-01-10,65.0,86.8,0.05,0.05,28.9667,62.1052,82.5782,115.7167,-4.1718,-24.6448,-57.7833
