date,open,high,low,close,P,R1,R2,R3,S1,S2,S3
2023-12-07,1004.5,1004.5,1004.5,1004.5,1004.5,1004.5,1004.5,1004.5,1004.5,1004.5,1004.5
2023-12-08,796.1,796.1,796.1,796.1,796.1,796.1,796.1,796.1,796.1,796.1,796.1
2023-12-11,988.15,988.15,855.85,910.1,918.0333,968.5719,999.7947,1050.3333,867.4947,836.2719,785.7333
2023-12-12,958.25,958.25,738.95,739.8,812.3333,896.1059,947.8607,1031.6333,728.5607,676.8059,593.0333
2023-12-13,824.8,824.8,739.8,758.15,774.25,806.72,826.78,859.25,741.78,721.72,689.25
2023-12-14,758.15,1090.1,758.15,1090.1,979.45,1106.2549,1184.5951,1311.4,852.6451,774.3049,647.5
2023-12-15,1139.7,1139.7,1090.1,1132.65,1120.8167,1139.7639,1151.4695,1170.4167,1101.8695,1090.1639,1071.2167
2023-12-18,1388.25,1388.25,1132.65,1132.65,1217.85,1315.4892,1375.8108,1473.45,1120.2108,1059.8892,962.25
2023-12-19,1141.35,1141.35,1132.65,1132.65,1135.55,1138.8734,1140.9266,1144.25,1132.2266,1130.1734,1126.85
2023-12-20,1120.45,1132.65,772.1,772.1,892.2833,1030.0134,1115.1032,1252.8333,754.5532,669.4634,531.7333
2023-12-21,785.7,1265.1,598.0,1214.05,1025.7167,1280.5489,1437.9845,1692.8167,770.8845,613.4489,358.6167
2023-12-22,1230.75,1340.7,845.95,845.95,1010.8667,1199.8612,1316.6222,1505.6167,821.8722,705.1112,516.1167
2023-12-26,933.95,1150.0,859.7,1083.65,1031.1167,1142.0113,1210.5221,1321.4167,920.2221,851.7113,740.8167
2023-12-27,1038.0,1416.05,1038.0,1403.55,1285.8667,1430.2818,1519.5016,1663.9167,1141.4516,1052.2318,907.8167
2023-12-28,1391.4,1636.2,1391.4,1461.15,1496.25,1589.7636,1647.5364,1741.05,1402.7364,1344.9636,1251.45
2023-12-29,1449.45,1461.15,1102.0,1169.35,1244.1667,1381.362,1466.1214,1603.3167,1106.9714,1022.212,885.0167
2024-01-01,1275.7,1285.7,1041.8,1054.2,1127.2333,1220.4031,1277.9635,1371.1333,1034.0635,976.5031,883.3333
2024-01-02,1076.7,1076.7,600.6,614.05,763.7833,945.6535,1058.0131,1239.8833,581.9131,469.5535,287.6833
2024-01-03,569.1,700.0,488.75,602.0,596.9167,677.6142,727.4692,808.1667,516.2192,466.3642,385.6667
2024-01-04,610.0,1018.65,585.15,1012.0,871.9333,1037.5303,1139.8363,1305.4333,706.3363,604.0303,438.4333
2024-01-05,947.9,1046.75,532.0,765.0,781.25,977.8845,1099.3655,1296.0,584.6155,463.1345,266.5
2024-01-08,701.0,801.9,207.6,243.25,417.5833,644.6059,784.8607,1011.8833,190.5607,50.3059,-176.7167
2024-01-09,290.0,584.0,68.25,81.25,244.5,441.5165,563.2335,760.25,47.4835,-74.2335,-271.25
2024-01-10,38.15,110.0,0.05,0.05,36.7,78.7009,104.6491,146.65,-5.3009,-31.2491,-73.25
